aoi,aoi_kind,scene,scene_date,zone,lat,lng,ndvi,ndwi,ferric_ratio,clay_ratio,albedo,lst_c,elevation_m,tpi_m,slope_deg,workings_frac,label
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R11C03,21.841263,80.216031,0.351,-0.446,1.708,1.45,0.091,25.6,304,-0.7,0.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R11C04,21.841263,80.218934,0.347,-0.453,1.764,1.464,0.083,25.6,303,-3.0,0.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R11C05,21.841263,80.221838,0.341,-0.456,1.816,1.478,0.082,25.9,305,-4.3,0.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R11C06,21.841263,80.224741,0.511,-0.566,1.692,1.664,0.065,25.4,302,-11.0,3.9,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R11C07,21.841263,80.227645,0.617,-0.603,1.37,1.746,0.045,24.7,327,12.5,2.1,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R11C08,21.841263,80.230548,0.281,-0.358,1.555,1.24,0.096,27.2,315,0.8,2.5,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R11C09,21.841263,80.233452,0.296,-0.362,1.46,1.232,0.09,26.5,310,-3.0,1.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R11C10,21.841263,80.236355,0.339,-0.401,1.506,1.284,0.088,26.0,308,-1.7,0.7,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R11C11,21.841263,80.239259,0.342,-0.4,1.55,1.316,0.085,25.8,305,-1.1,0.8,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R11C12,21.841263,80.242162,0.377,-0.468,1.771,1.454,0.09,26.5,301,-3.7,0.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R11C13,21.841263,80.245066,0.32,-0.437,1.84,1.427,0.101,27.0,303,-1.0,0.4,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R11C14,21.841263,80.247969,0.314,-0.426,1.911,1.392,0.094,26.6,303,-0.8,0.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R11C15,21.841263,80.250873,0.268,-0.383,1.873,1.306,0.104,27.6,304,0.2,0.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R11C16,21.841263,80.253776,0.284,-0.4,1.839,1.334,0.103,27.5,304,0.2,0.1,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R12C01,21.838568,80.210224,0.444,-0.496,1.634,1.522,0.072,25.0,303,-0.9,0.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R12C02,21.838568,80.213127,0.43,-0.489,1.636,1.513,0.079,25.2,305,1.6,0.3,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R12C03,21.838568,80.216031,0.415,-0.476,1.625,1.46,0.077,25.3,303,-1.2,0.4,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R12C04,21.838568,80.218934,0.373,-0.466,1.736,1.478,0.082,25.9,302,-3.5,0.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R12C05,21.838568,80.221838,0.456,-0.521,1.703,1.595,0.071,25.2,302,-6.2,4.0,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R12C06,21.838568,80.224741,0.465,-0.507,1.548,1.526,0.068,25.2,338,27.8,1.4,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R12C07,21.838568,80.227645,0.346,-0.279,1.416,1.21,0.084,26.1,316,4.8,3.1,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R12C08,21.838568,80.230548,0.326,-0.394,1.597,1.358,0.084,26.5,311,0.4,1.5,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R12C09,21.838568,80.233452,0.361,-0.431,1.668,1.443,0.073,26.2,305,-4.1,1.0,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R12C10,21.838568,80.236355,0.306,-0.407,1.725,1.336,0.08,26.4,303,-3.0,0.6,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R12C11,21.838568,80.239259,0.419,-0.483,1.678,1.429,0.089,26.7,301,-3.0,0.4,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R12C12,21.838568,80.242162,0.279,-0.392,1.889,1.353,0.098,27.4,303,-0.1,0.3,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R12C13,21.838568,80.245066,0.324,-0.432,1.918,1.437,0.086,26.6,302,-0.6,0.1,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R12C14,21.838568,80.247969,0.308,-0.41,1.876,1.349,0.091,27.5,302,-0.8,0.1,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R12C15,21.838568,80.250873,0.266,-0.38,1.87,1.299,0.101,27.9,302,-1.1,0.3,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R12C16,21.838568,80.253776,0.304,-0.414,1.839,1.368,0.106,27.5,304,0.8,0.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R13C01,21.835873,80.210224,0.388,-0.467,1.687,1.498,0.089,25.5,304,0.2,0.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R13C02,21.835873,80.213127,0.451,-0.495,1.581,1.513,0.075,25.5,302,-1.2,0.3,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R13C03,21.835873,80.216031,0.404,-0.47,1.599,1.461,0.081,25.5,301,-2.9,0.1,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R13C04,21.835873,80.218934,0.449,-0.498,1.596,1.517,0.076,25.8,301,-4.2,2.5,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R13C05,21.835873,80.221838,0.406,-0.452,1.539,1.463,0.076,26.3,327,20.3,0.6,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R13C06,21.835873,80.224741,0.414,-0.466,1.598,1.432,0.079,26.1,307,-0.6,3.8,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R13C07,21.835873,80.227645,0.34,-0.288,1.481,1.224,0.094,25.8,309,0.7,1.3,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R13C08,21.835873,80.230548,0.33,-0.418,1.717,1.463,0.072,25.8,304,-3.5,1.0,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R13C09,21.835873,80.233452,0.406,-0.44,1.578,1.58,0.066,25.4,303,-2.7,0.3,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R13C10,21.835873,80.236355,0.29,-0.401,1.764,1.37,0.086,26.8,303,-0.8,0.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R13C11,21.835873,80.239259,0.346,-0.447,1.857,1.413,0.093,26.9,301,-1.8,0.1,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R13C12,21.835873,80.242162,0.402,-0.47,1.735,1.428,0.081,25.8,304,1.9,0.4,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R13C13,21.835873,80.245066,0.451,-0.49,1.705,1.476,0.075,25.7,302,0.3,0.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R13C14,21.835873,80.247969,0.363,-0.443,1.815,1.397,0.081,26.1,302,0.0,0.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R13C15,21.835873,80.250873,0.308,-0.407,1.866,1.336,0.097,26.8,302,-0.2,0.1,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R13C16,21.835873,80.253776,0.325,-0.431,1.863,1.366,0.099,27.2,303,0.6,0.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R14C01,21.833178,80.210224,0.352,-0.459,1.775,1.469,0.093,26.2,304,0.4,0.0,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R14C02,21.833178,80.213127,0.365,-0.457,1.73,1.473,0.082,25.8,304,1.1,0.3,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R14C03,21.833178,80.216031,0.376,-0.433,1.542,1.374,0.086,25.6,302,-1.5,0.5,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R14C04,21.833178,80.218934,0.399,-0.453,1.581,1.418,0.088,26.4,300,-4.8,0.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R14C05,21.833178,80.221838,0.42,-0.459,1.547,1.503,0.095,26.8,302,-3.2,2.3,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R14C06,21.833178,80.224741,0.364,-0.458,1.739,1.468,0.08,27.2,303,-2.7,0.4,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R14C07,21.833178,80.227645,0.336,-0.428,1.695,1.436,0.073,26.5,303,-3.2,0.7,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R14C08,21.833178,80.230548,0.291,-0.397,1.78,1.468,0.081,26.9,303,-2.4,0.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R14C09,21.833178,80.233452,0.304,-0.409,1.696,1.354,0.081,26.7,302,-1.4,0.1,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R14C10,21.833178,80.236355,0.394,-0.472,1.686,1.489,0.085,25.5,302,-0.5,0.0,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R14C11,21.833178,80.239259,0.315,-0.423,1.828,1.428,0.096,26.4,302,0.0,0.3,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R14C12,21.833178,80.242162,0.417,-0.488,1.744,1.46,0.081,26.4,299,-2.6,0.3,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R14C13,21.833178,80.245066,0.387,-0.458,1.716,1.399,0.085,26.1,303,1.6,0.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R14C14,21.833178,80.247969,0.388,-0.458,1.769,1.417,0.079,25.8,300,-1.8,0.3,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R14C15,21.833178,80.250873,0.41,-0.475,1.761,1.451,0.08,25.6,302,0.0,0.3,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R14C16,21.833178,80.253776,0.358,-0.448,1.827,1.41,0.08,26.5,302,-0.0,0.1,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R15C01,21.830483,80.210224,0.406,-0.47,1.676,1.5,0.063,26.0,304,0.2,0.1,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R15C02,21.830483,80.213127,0.497,-0.525,1.525,1.526,0.061,25.7,304,1.1,0.1,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R15C03,21.830483,80.216031,0.348,-0.409,1.534,1.304,0.085,25.6,304,0.7,0.5,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R15C04,21.830483,80.218934,0.437,-0.504,1.685,1.492,0.079,26.8,299,-4.0,0.1,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R15C05,21.830483,80.221838,0.406,-0.481,1.665,1.49,0.08,26.2,303,0.0,0.4,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R15C06,21.830483,80.224741,0.368,-0.454,1.698,1.458,0.078,26.1,303,-0.2,0.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R15C07,21.830483,80.227645,0.333,-0.442,1.734,1.437,0.087,26.2,302,-1.7,0.1,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R15C08,21.830483,80.230548,0.42,-0.488,1.632,1.472,0.074,25.9,302,-0.8,0.1,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R15C09,21.830483,80.233452,0.346,-0.414,1.666,1.461,0.067,25.6,303,0.7,0.1,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R15C10,21.830483,80.236355,0.412,-0.485,1.709,1.504,0.071,25.6,303,1.2,0.3,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R15C11,21.830483,80.239259,0.408,-0.482,1.687,1.514,0.079,25.6,300,-1.8,0.3,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R15C12,21.830483,80.242162,0.423,-0.488,1.683,1.534,0.08,25.8,301,-0.5,0.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R15C13,21.830483,80.245066,0.511,-0.53,1.578,1.575,0.066,25.4,300,-1.3,0.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R15C14,21.830483,80.247969,0.433,-0.49,1.767,1.459,0.083,26.5,299,-2.6,0.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R15C15,21.830483,80.250873,0.378,-0.455,1.776,1.416,0.087,26.1,300,-1.8,0.3,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R15C16,21.830483,80.253776,0.297,-0.412,1.88,1.333,0.094,26.6,302,0.2,0.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R16C01,21.827788,80.210224,0.392,-0.434,1.577,1.388,0.077,26.4,305,1.0,0.1,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R16C02,21.827788,80.213127,0.362,-0.441,1.703,1.352,0.088,26.3,305,1.9,0.4,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R16C03,21.827788,80.216031,0.391,-0.455,1.572,1.402,0.084,25.8,301,-1.4,0.6,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R16C04,21.827788,80.218934,0.361,-0.449,1.791,1.433,0.091,27.6,300,-1.8,0.1,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R16C05,21.827788,80.221838,0.444,-0.506,1.675,1.507,0.075,25.9,300,-1.3,0.3,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R16C06,21.827788,80.224741,0.397,-0.482,1.75,1.496,0.078,25.9,301,-0.5,0.3,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R16C07,21.827788,80.227645,0.36,-0.447,1.667,1.447,0.089,25.6,302,0.0,0.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R16C08,21.827788,80.230548,0.411,-0.475,1.656,1.472,0.074,25.4,303,0.9,0.1,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R16C09,21.827788,80.233452,0.385,-0.462,1.682,1.459,0.08,25.7,302,0.2,0.2,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R16C10,21.827788,80.236355,0.397,-0.469,1.675,1.486,0.071,25.6,301,-0.5,0.3,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R16C11,21.827788,80.239259,0.421,-0.49,1.67,1.52,0.077,25.4,300,-1.6,0.0,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R16C12,21.827788,80.242162,0.423,-0.491,1.725,1.438,0.08,26.0,301,-0.3,0.4,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R16C13,21.827788,80.245066,0.449,-0.497,1.657,1.437,0.077,25.5,304,2.8,0.4,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R16C14,21.827788,80.247969,0.371,-0.439,1.688,1.34,0.086,26.9,302,0.5,0.4,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R16C15,21.827788,80.250873,0.293,-0.403,1.78,1.352,0.102,27.3,301,-0.8,0.1,0.0,0
bharveli,manganese,S2C_MSIL2A_20251228T051231_R019_T44QMK_20251228T090010,2025-12-28,R16C16,21.827788,80.253776,0.296,-0.417,1.901,1.362,0.098,27.4,302,0.4,0.1,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C01,21.986212,80.430206,0.425,-0.504,1.586,1.469,0.071,40.1,599,-6.4,0.9,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C02,21.986212,80.433112,0.3,-0.439,1.755,1.352,0.095,42.2,607,-0.7,1.6,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C03,21.986212,80.436018,0.33,-0.45,1.742,1.327,0.095,42.5,616,5.2,1.4,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C04,21.986212,80.438924,0.292,-0.442,1.908,1.307,0.1,43.5,618,6.0,1.3,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C05,21.986212,80.441829,0.335,-0.477,1.881,1.388,0.086,42.2,624,11.5,1.6,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C06,21.986212,80.444735,0.228,-0.378,1.847,1.238,0.13,42.5,609,-3.9,1.2,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C07,21.986212,80.447641,0.275,-0.406,1.803,1.238,0.117,40.6,611,-2.9,0.7,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C08,21.986212,80.450547,0.372,-0.455,1.644,1.331,0.093,39.5,615,0.2,0.8,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C09,21.986212,80.453453,0.249,-0.39,1.775,1.28,0.126,41.4,619,1.7,1.1,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C10,21.986212,80.456359,0.329,-0.441,1.747,1.285,0.098,40.9,626,6.8,0.8,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C11,21.986212,80.459265,0.477,-0.527,1.594,1.497,0.067,37.5,621,-0.4,0.5,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C12,21.986212,80.462171,0.473,-0.522,1.587,1.453,0.068,38.7,621,-2.7,0.5,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C13,21.986212,80.465076,0.345,-0.449,1.714,1.325,0.083,42.2,626,-0.9,0.8,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C14,21.986212,80.467982,0.373,-0.477,1.709,1.385,0.085,41.5,629,-3.1,0.8,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C15,21.986212,80.470888,0.383,-0.466,1.586,1.389,0.066,39.4,634,-3.2,1.2,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C16,21.986212,80.473794,0.376,-0.473,1.668,1.446,0.067,38.2,641,-0.3,1.0,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C01,21.983517,80.430206,0.323,-0.44,1.706,1.358,0.097,42.1,603,-1.6,1.2,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C02,21.983517,80.433112,0.262,-0.406,1.737,1.309,0.106,43.3,610,3.6,0.9,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C03,21.983517,80.436018,0.263,-0.399,1.755,1.277,0.113,43.2,607,-1.8,0.9,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C04,21.983517,80.438924,0.286,-0.396,1.735,1.284,0.102,40.7,607,-3.0,1.4,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C05,21.983517,80.441829,0.328,-0.439,1.799,1.341,0.098,40.5,610,-0.4,1.8,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C06,21.983517,80.444735,0.255,-0.393,1.802,1.274,0.135,41.7,608,-3.4,0.7,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C07,21.983517,80.447641,0.341,-0.44,1.725,1.311,0.095,40.5,615,2.5,0.6,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C08,21.983517,80.450547,0.401,-0.472,1.586,1.386,0.094,39.7,614,0.2,0.2,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C09,21.983517,80.453453,0.356,-0.441,1.659,1.341,0.096,40.5,617,0.7,0.5,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C10,21.983517,80.456359,0.44,-0.482,1.564,1.425,0.09,38.9,618,-0.3,1.1,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C11,21.983517,80.459265,0.432,-0.475,1.561,1.451,0.071,38.8,619,-1.8,0.4,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C12,21.983517,80.462171,0.246,-0.367,1.609,1.125,0.075,43.6,622,-1.6,0.6,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C13,21.983517,80.465076,0.315,-0.422,1.593,1.253,0.077,41.9,625,-2.8,0.7,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C14,21.983517,80.467982,0.32,-0.441,1.777,1.327,0.091,42.8,629,-4.7,1.4,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C15,21.983517,80.470888,0.369,-0.488,1.774,1.461,0.073,40.1,639,-0.2,2.4,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C16,21.983517,80.473794,0.443,-0.539,1.741,1.575,0.068,38.7,649,5.2,2.0,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R03C01,21.980822,80.430206,0.359,-0.472,1.626,1.458,0.075,39.9,609,5.0,0.8,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R03C02,21.980822,80.433112,0.346,-0.474,1.692,1.425,0.08,41.9,616,10.8,0.4,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R03C03,21.980822,80.436018,0.285,-0.41,1.695,1.327,0.109,42.4,607,0.1,1.4,0.0,0
ukwa,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R03C04,21.980822,80.438924,0.35,-0.452,1.68,1.373,0.092,41.1,604,-3.8,0.2,0.0,0
